TimeStamps, SceneNum,
1660332387328,4,
1660332402623,6,
1660332419087,9,
1660332433964,12,
1660332452461,14,
1660332466949,18,
1660332481892,22,
1660332498754,23,
1660332514028,28,
1660332532101,31,
1660332547128,32,
1660332562728,35,
1660332578241,40,
1660332594082,42,
1660332609981,45,
1660332624738,48,
1660332639764,50,
1660332654568,54,
1660332669452,57,
1660332685842,57,
1660332700417,59,
1660332715524,63,
1660332732914,63,
1660332749288,66,
1660332766154,70,
1660332782445,71,
1660332797388,75,
1660332812342,79,
1660332827254,80,
1660332842154,85,
1660332857721,88,
1660332872613,90,
