CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6663.479705271686,-6708.965505238236,-6687.284313116588,-6744.750648111182,-125797.89767240259,-147006.61861975415,-125151.93225764422,-146313.37926547282
-6651.856798154927,-6700.337731878488,-6680.735251991183,-6739.743857353194,-125795.21546306796,-147004.94223892002,-125152.11107159985,-146314.76507362904
-6656.170684834801,-6703.601086568962,-6683.03748167008,-6741.487293420708,-125797.13771309111,-147006.46215754296,-125153.00514137807,-146315.2344602626
-6667.234798340178,-6711.603011083962,-6688.804231739549,-6745.689421378305,-125800.19990208148,-147008.54086977732,-125153.16160358925,-146314.02746606202
-6662.138600604368,-6707.177365681811,-6684.915028204326,-6742.135494009912,-125797.60709972467,-147006.17158486505,-125151.06053961047,-146312.32873348342
-6648.615795208907,-6696.828507999005,-6676.957807178236,-6735.653488117873,-125793.65084095608,-147003.17645110804,-125150.12176634333,-146312.75341662805
-6650.023955109591,-6697.901391732859,-6677.829525211993,-6736.2793369626215,-125794.92489039003,-147004.33874181972,-125151.26170531055,-146313.60278291735
-6661.959786648726,-6706.730330792705,-6684.110365403934,-6741.196720742789,-125798.59057648071,-147006.93154417654,-125151.90990589977,-146312.8428236059
-6658.942301147259,-6703.668141802328,-6680.958769435736,-6737.978069541225,-125795.86366365716,-147004.09287263072,-125148.89242039829,-146309.75828287104
-6644.9501091182365,-6692.894600974871,-6672.46510654272,-6731.09373224899,-125791.54977697728,-147000.74011096242,-125147.41720526424,-146309.84768984886
-6644.681888184773,-6693.1404701638785,-6673.001548409647,-6731.987802027203,-125793.40497176707,-147002.64000924112,-125149.96530413214,-146312.6416579058
-6655.991870879158,-6701.343560378977,-6678.969464179214,-6736.324040451532,-125796.75773343537,-147005.0539976423,-125150.3899872768,-146311.65818114975
-6655.209559823223,-6699.600124311462,-6676.555475778041,-6733.328906694521,-125793.82965491172,-147001.81299469626,-125146.34432153039,-146307.25488749205
-6642.580824205974,-6690.033577684591,-6669.17940010779,-6727.383342669409,-125790.23102405442,-146999.17548885054,-125145.71847268564,-146307.81368110343
-6639.563338704507,-6688.491307317175,-6668.575903007496,-6727.450397902775,-125791.72859093292,-147001.18714585152,-125148.64655120928,-146311.21114626064
-6649.755734176128,-6695.912086476337,-6673.8285629544935,-6731.361953182453,-125794.85783515667,-147003.3999685526,-125149.11593784284,-146310.40648346025
-6654.494304000653,-6698.907220233348,-6675.527295533097,-6732.256022960666,-125795.37192527913,-147003.31056157476,-125147.86424015334,-146308.37247471482
-6642.089085827957,-6689.094804417468,-6667.637129740373,-6725.61755485744,-125790.83452115471,-146999.53311676183,-125145.76317617456,-146307.4337014477
-6635.271803769088,-6684.3338828484875,-6664.329071560988,-6723.270621689632,-125790.43218975452,-146999.7566342064,-125147.39485351979,-146309.95944857114
-6644.324260273488,-6690.927647462803,-6669.335862318977,-6727.1821769693115,-125793.695544445,-147002.37178830765,-125148.49008899809,-146309.9818003156
-6650.4039347653315,-6694.66038878684,-6671.325167575499,-6728.076246747523,-125793.85200665618,-147001.67888422954,-125146.23256280812,-146306.76314911403
-6639.943318360248,-6686.367891593921,-6664.46318202772,-6722.108330977957,-125789.67223044304,-146998.16966035005,-125144.04209185149,-146305.4890996801
-6632.07550431198,-6681.249342113655,-6661.132772103879,-6720.096673976979,-125789.91809963205,-146999.22019233945,-125146.76900467504,-146309.42300670422
-6639.183359048768,-6686.65846427184,-6665.290196572566,-6723.4270839008195,-125793.13675083361,-147001.7459394629,-125148.44538550919,-146310.25002124906
-6647.565263219508,-6692.156993407845,-6668.710013474228,-6725.61755485744,-125794.20963456747,-147001.99180865192,-125146.74665293058,-146307.3889979588
-6640.636222438362,-6686.70316776075,-6664.0832023719795,-6721.705999577761,-125791.50507348837,-146999.8460411842,-125145.27143779653,-146306.4278729472
-6630.175606033279,-6679.327092090499,-6658.897597658348,-6717.906203020359,-125790.23102405442,-146999.48841327292,-125146.92546688623,-146309.31124798194
-6636.747018903139,-6684.870324715415,-6663.770277949605,-6722.264793189143,-125794.94724213448,-147003.86935518615,-125150.85937391037,-146312.77576837252
-6649.018126609102,-6694.012188197636,-6670.587560008474,-6727.584508369507,-125799.12701834763,-147007.04330289882,-125152.04401636649,-146312.70871313915
-6644.436018995764,-6690.033577684591,-6666.8995221733485,-6724.164691467845,-125796.60127122418,-147004.60696275317,-125149.80884192097,-146310.65235264925
-6630.242661266645,-6679.058871157035,-6658.249397069144,-6717.190947197789,-125792.17562582203,-147001.23184934043,-125148.44538550919,-146310.67470439372
-6631.248489767134,-6679.952940935247,-6659.0317081250805,-6717.883851275904,-125793.65084095608,-147002.66236098556,-125149.89824889878,-146312.10521603885
-6643.117266072902,-6688.647769528362,-6665.401955294843,-6722.734179822705,-125797.38358228012,-147005.38927380912,-125150.63585646581,-146311.36760847183
-6641.93262361677,-6687.284313116588,-6663.636167482873,-6720.811929799549,-125795.79660842379,-147003.6011342527,-125148.60184772038,-146309.2888962375
-6627.202824020723,-6675.75081297765,-6654.2707865561,-6713.033522729102,-125790.5439484768,-146999.37665455064,-125146.41137676376,-146308.46188169264
-6624.319448985988,-6673.537990276574,-6652.79557142205,-6711.8041767840605,-125790.61100371016,-146999.57782025074,-125147.2383913086,-146309.51241368204
-6636.210577036211,-6682.411632825331,-6659.41168778082,-6716.90037451987,-125794.72372468993,-147002.81882319675,-125148.44538550919,-146309.4900619376
-6639.8986148713375,-6684.9820834376915,-6661.021013381603,-6718.017961742636,-125795.70720144597,-147003.42232029705,-125148.22186806463,-146308.86421309283
-6628.342762987943,-6676.331958333488,-6654.382545278376,-6712.85470877346,-125792.91323338906,-147001.47771852944,-125148.19951632018,-146310.04885554896
-6624.252393752622,-6673.761507721128,-6652.84027491096,-6712.13945295089,-125793.85200665618,-147002.93058191903,-125150.63585646581,-146313.043989306
-6634.981231091169,-6681.651673513851,-6658.830542424982,-6716.788615797594,-125797.76356193586,-147005.9480674205,-125151.99931287758,-146313.15574802825
-6639.071600326491,-6683.909199703837,-6659.724612203195,-6716.632153586406,-125797.22712006893,-147004.76342496436,-125149.63002796532,-146310.02650380452
-6629.54975718853,-6676.89075194487,-6654.449600511743,-6712.608839584451,-125795.28251830132,-147003.55643076377,-125149.87589715433,-146311.4346637052
-6621.860757095905,-6671.392222808865,-6650.448638254242,-6709.680761060806,-125794.52255898983,-147003.42232029705,-125151.17229833273,-146313.66983815073
