Time,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
1652215402.573383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1652215402.586437,-86438.08501220764,-15079.872617706373,-15706.123793855168,-16150.744694560135,-181825.89791129803,-187500.02235174447,-184434.45824795464,-187500.02235174447
1652215402.592495,-86425.23275914583,-15075.826951959963,-15701.608741475195,-16146.520214858081,-181823.6627368525,-187500.02235174447,-184432.2230735091,-187500.02235174447
1652215402.592505,-86457.32986418366,-15075.290510093035,-15700.804078674804,-16145.91671775779,-181825.13795198654,-187500.02235174447,-184433.72064038762,-187500.02235174447
1652215402.599016,-86472.88667832455,-15077.503332794111,-15702.592218231228,-16147.8613195254,-181829.18361773298,-187500.02235174447,-184437.60984392284,-187500.02235174447
1652215402.59903,-86435.53691333973,-15075.31286183749,-15700.088822852234,-16145.424979379772,-181828.96010028842,-187500.02235174447,-184437.2298642671,-187500.02235174447
1652215402.606835,-86409.47477930484,-15073.301204836513,-15697.71953793997,-16143.323915400973,-181828.8706933106,-187500.02235174447,-184437.00634682254,-187500.02235174447
1652215402.606844,-86436.87801800705,-15070.484885035145,-15694.590293716228,-16140.48524385515,-181827.8648648101,-187500.02235174447,-184436.11227704433,-187500.02235174447
1652215402.614873,-86458.69332059543,-15067.400344300313,-15691.282235536843,-16137.244240909129,-181826.7249258429,-187500.02235174447,-184434.8829310993,-187500.02235174447
1652215402.614882,-86426.88678823553,-15065.388687299335,-15688.91295062458,-16135.031418208055,-181826.4790566539,-187500.02235174447,-184434.7264688881,-187500.02235174447
1652215402.622181,-86391.63808722951,-15061.4547802752,-15684.509656966884,-16130.873993739368,-181824.422696164,-187500.02235174447,-184432.55834967594,-187500.02235174447
1652215402.622197,-86410.43590431641,-15057.051486617505,-15679.681680164538,-16126.38129310385,-181822.03105950728,-187500.02235174447,-184430.0326025525,-187500.02235174447
